Experiment,Link,Author,New_Link
KLF4,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32685
ZNF750,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32685
ACTL,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36222
GRHL3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Hopkin,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37049
MLL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Hopkin,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37570
SNAI2_Over,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44561
SNAI2_Knockdown,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE44561
DMNT1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18590
CBX4_Over,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Luis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31093
CBX4_Knockdown,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Luis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31093
MAFB1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Lopez-Pazares,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52954
MPZL3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Bhaduri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4845910/
FDXR,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Bhaduri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4845910/
TINCR,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Kretz,https://www.ncbi.nlm.nih.gov/sra?term=SRP010678
CALML5,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,https://www.ncbi.nlm.nih.gov/sra/SRX1309369[accn]
SFN,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",Sun,https://www.ncbi.nlm.nih.gov/sra/SRX1309157[accn]
ATF2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
ATF3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
ATF4,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
ATF5,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
ATF7,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
BRIP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
NOTCH3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
CEBPG,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
CREB5,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
E2F1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
ETS1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOS,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOSB,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOSL1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOSL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOXD1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
GABP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOXN1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOXN2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
FOXP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
GRHL1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
GRHL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
GRHL3a,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
JUN,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
JUNB,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
JUND,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
KLF4a,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
LRRFLP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
PBX1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
OVOL1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
OVOL2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
NR3C1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
RUNX1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
RORA,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
RELB,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
RBL1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
RARG,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
PRDM1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
PBX2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
STAT3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
STAT1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
SP3,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
SP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
SOX6,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
SOX11,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
SMAD4,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
RUNX2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
XBP1,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
TP63,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
TCF7L2,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
TCF4,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193
STAT6,"https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""https://www.ncbi.nlm.nih.gov/sra?term=SRP010678""""""""",BIG,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86193